Title of signal;Translated Title;Factor;Link;Source Date;Insights;Context;Implication;Organisations;Countries;Tags
New FarmWise agricultural robot has fast weeding accuracy;;Competitors and Suppliers;https://www.digitimes.com.tw/iot/article.asp?cat=158&cat1=20&cat2=10&id=0000576348_M7F4Q1XK3LSWCN90F8JPG;2020-01-08;California based U.S. startup FarmWise’s (https://www.farmwise.io/) agricultural robots can automatically move between rows of lettuce, broccoli and cauliflower to find weeds and selectively spray them using its AI-based technology. After it raised USD 14.5 mn in its latest funding round, the startup plans to deploy the first commercial robots by 2020. Although the robots are currently only optimized for weeding, the company aims to make the robot a universal agricultural platform that automates almost all tasks from sowing to harvesting, https://bit.ly/39Uu5dI. The new iTarra robot of Irish Acres Machinery furthermore has been designed from the ground as autonomous tractor. The software of iTarra has been developed in cooperation with the University of Notre Dame in the USA. The company is now cooperating with existing OEMs including Keenan for the development of the robot which has a hybrid diesel-electric engine that provides 400V of continuous power, https://bit.ly/300B3sM.;;;FarmWise,Acres Machinery Ltd,Keenan,University of Notre Dame ;Ireland,United States;Precision Technology,Product Launches,Alliances
Chinese company XAG launches autonomous farm robot;;Competitors and Suppliers;https://www.freshplaza.com/article/9177929/chinese-company-xag-launches-autonomous-farm-robot/;2020-01-08;XAG, a Chinese manufacturer of agricultural drones, has released an autonomous and multifunctional farm robot, the R80 Agricultural Utility Vehicle, which allows third-party payloads and adapts to both plain fields and sloped terrains. According to XAG, the R80 can be used as a transportation platform to carry farming materials or as a carrier for XAG’s XIoT field monitoring system, for monitoring crops, weather conditions, soil temperature, moisture and so on in the field. The robot can also serve as a carrier for XAG’s JetSprayer system for spraying operations. XAG also launched an automated steering system called XAPC, a brand-independent steering system which is designed to improve operation precision and performance of medium-to-large agricultural equipment such as wheel tractors and harvesters. XAPC is simply connected to a smartphone or a tablet, and provides access to a RTK high-accuracy navigation network. XAG’s new products will be launched in other countries in 2020.;;;XAG (XAIRCRAFT);China;Precision Technology,Product Launches
Laforge Announces Distribution Agreement Via Trimble Select;;Competitors and Suppliers;https://www.farm-equipment.com/articles/17802-laforge-announces-distribution-agreement-via-trimble-select;2020-01-09;At the Precision Farming Dealer Summit in the USA, LaForge (https://www.laforgegroup.com/), the French provider of tractor-implement solutions, announced a new distribution agreement with Trimble to become a partner of Trimble Select (https://bit.ly/2tT22KY), a Precision Ag marketplace created by Trimble Agriculture. The French company will offer its DynaTrac technology via the marketplace to a much wider universe of precision and equipment dealers. The company is expanding the DynaTrac range with the addition of the DynaTrac Premium Plus, which is PTO driveline compatible, and the DynaTrac Classic Plus for the heavier draft loads of tillage equipment.;;;LaForge,Trimble Inc;France,United States;Alliances,Precision Technology,Product Upgrades
Kubota Invests in U.S. Based Agriculture Technology Start-up;;Competitors and Suppliers;https://www.kubota.com/news/2020/20200109.html;2020-01-09;Kubota Corporation announced that it has invested in Abundant Robotics, a U.S. based start-up offering robotics-based automation in agriculture. After Kubota launched its Innovation Center in June 2019 as a division for the pursuit of open innovation based on coordination with external partners, the company has been in negotiations with several startups. The company made its first investment in Advanced Farm Technologies in August 2019. One area that has caught Kubota’s attention during the pursuit was “harvesting”, which is, according to Kubota, in high demand among fruit growers. This interest led to the decision to invest in Abundant Robotics as the startup has been developing apple-harvesting robots by using advanced technologies. With this investment, Kubota aims to reinforce its development of labor-saving and automation technology for harvesting apples and other fruits and launch a solution business utilizing these technologies. (SONEAN: what makes this investment especially interesting is that the German cooperative BayWa had invested in Abundant Robotics 3 years ago while Kubota’s previous investment into Advanced Farm Technologies was actually led by Yamaha Motors, which has another investment in a New Zealand startup, called Robotics Plus, also develops harvesting robots. See the context for more background);;"German cooperative BayWa has also invested in Abundant Robotics in May 2017, only one year after the foundation of the startup, becoming a minority shareholder in the company. BayWa’s intention in investing in Abundant Robotics was to support the development of automated harvesting systems for special crops, which according to BayWa is labor-intensive as the farmers face challenges finding enough workforce within cost limits. (https://bit.ly/30hSsxs). Two years after that investment, BayWa’s subsidiary in New Zealand, T & G Global, started to use the picking robot developed by Abundant Robotics, in apple harvesting. According to BayWa it is also possible to use such robots in Germany soon (https://bit.ly/2NkS5gj). 
In November 2018 Yamaha Motors had made a second investment in Robotics Plus, a New Zealand agricultural robotics and automation company, increasing Yamaha’s total investment to USD 10 mn. Among others Robotics Plus develops a robotic kiwifruit harvester (https://bit.ly/2tUNzyj). Kubota’s investment in Advanced Farm was actually done by Yamaha Motor Ventures & Laboratory Silicon Valley, the investment arm of Yamaha Motor, with participation from Kubota Corporation and two venture capital firms (https://bit.ly/30DzOzu).";Kubota Corporation,Abundant Robotics,Advanced Farm Technologies,BayWa AG;Japan,United States;Corporate M&A,Alliances,Precision Technology,Strategy
CNH-Chef Mühlhäuser: Steyr soll Premium-Marke werden;CNH boss Mühlhäuser: Steyr should become a premium brand;Competitors and Suppliers;https://www.landwirt-media.com/cnh-chef-muehlhaeuser-steyr-soll-premium-marke-werden/;2020-01-10;In an interview, Hubertus Mühlhäuser, CEO of CNH Industrial, provided new insights regarding the strategy of CNH for its brands, especially for Steyr. Accordingly, New Holland (NH) is positioned as the wide-ranging full-liner brand with a complete tractor portfolio and deep forage and harvesting equipment ranges. Case IH is also positioned as a full-liner with tractors and harvesting equipment, but more targeting the professional large-scale business segment, and contractors. Steyr is the high-tech brand in the tractor segment and it will bring new technologies onto the market before other brands. It will remain focused on Europe and only appear as a tractor manufacturer, which will make it a complementary partner with other European short-liner manufacturers such as Kuhn, Amazone, Krone, Pöttinger, Lemken or Horsch as these manufacturers look for a premium tractor brand while they get pushed out by the large full-liners. Steyr will soon be represented throughout Europe while the St. Valentin plant will expand its activities with new investments to reach the quality required for the “Made in Austria” production. Steyr will remain rooted in St. Valentin and be connected to his homeland. Although NH’s biogas tractor is already available, Mühlhäuser finds it astonishing that the competitors have not jumped into the biogas train yet. With Steyr’s concept study, presented at Agritechnica 2019, CNH will push hybrid drives, bringing the electrification in combination with diesel or gas engines. Such a hybrid tractor could be ready in few years. (SONEAN: In Austria Steyr is said to be the market leader in the tractor market with more than 20% market share while Case IH has only a marginal share of the market. Therefore, Case IH e.g. will focus on high-performance machines, where the demand is said to be growing in Austria. NH is the number three in the tractor market and has seen steady growth in harvesting equipment during the past two years. Currently, every fourth combine sold in Austria is a NH harvester. See the context for insights about what Mühlhäuser thinks regarding autonomous machines and electric drives as well as why the AgXtend brand was created);;Mühlhäuser also sees an increasing automation of machines towards autonomous driving. The new Case IH Magnum presented at Agritechnica was the logical continuation of the previous autonomous tractor study. In future, there will be more flexible and electric drives as well as a variety of sensors. Tractors will be completely networked to optimise usage and maintenance cycles and will be monitored by the manufacturer via control rooms. The AgXtend brand has been created to work with startups. This way CNH brings experimental technologies to the market. CNH regularly scouts for startups for cooperation and if it finds an exciting solution, it tries to bind the startups to exclusively sell their products through CNH’s networks, and thus piggy back them.;CNH INDUSTRIAL N.V.,New Holland (CNHI),Case IH (CNHI),STEYR Traktoren (CNHI),AgXtend (CNHI),Kuhn (Bucher),Amazone,Krone,Pöttinger,Lemken,Horsch Maschinen GmbH;Austria;Tractors,Harvesters,Strategy,Market Entry,Alliances,Capacity Increase,Alternative Engines,Precision Technology,Implements
Inédit en guidage : une correction RTK par satellite;New in guidance: RTK correction by satellite;Competitors and Suppliers;https://www.entraid.com/articles/guidage-correction-rtk-par-satellite-novatel-gps;2020-01-13;Canadian company Novatel has launched a satellite RTK location service called TerraStar-X, which has an accuracy of 2 cm. This third RTK service can make it possible to remove network or terrain problems. TerraStar-X is currently only available in the “Midwest”, a region of the USA dedicated to field crops. Since September 2019, Novatel has been an accredited supplier to CNH’s Case IH, New Holland and Steyr brands for positioning technologies.;;;Novatel,CNH INDUSTRIAL N.V.,Case IH (CNHI),New Holland (CNHI),STEYR Traktoren (CNHI);Canada,United States;Precision Technology,Service
SMALL ROBOT COMPANY GOES LIVE ON CROWDCUBE;;Competitors and Suppliers;https://www.smallrobotcompany.com/press-releases/2020/1/13/small-robot-company-goes-live-on-crowdcube;2020-01-13;British startup Small Robot Company (SRC) launched its latest equity crowdfunding campaign, seeking GBP 700,000 to finance the field trials of the weed zapping robot Dick and the production of a fleet of Tom monitoring robots for the commercial weed mapping service. To date SRC has secured more than GBP 2.5 mn in funding, including GBP 1.2 mn from the previous crowdfunding raise, and more than GBP 1 mn in government Innovate UK grants. Since the last raise, SRC has moved from proof-of-concept to commercially-ready prototype. With the new funding SRC aims to begin manufacturing the robots as well as delivering its weed zapping technology. SRC is currently in field trials on 20 farms, including the farms of Waitrose and National Trust where SRC’s first commercial weed mapping service with the new Tom robot is running. Together with startup RootWave, SRC has completed the development of its Dick non-chemical weeding robot prototype to in-lab proof-of-concept stage. An initial prototype will go into field trials in 2020, with the commercial weed zapping service to be available from autumn 2021. SRC’s Wilma is also now in use for commercial weed identification and decision support. Wilma can now detect both broad-leaved weeds and emerging wheat. Collaboration work with Cosmonio is now underway for identification of grass type weeds, the mapping of which is scheduled for next autumn. (SONEAN: A third of the previous crowdfunding raise of SRC came from farmers. These include Andrew Ward, MBE Farmers Weekly Farming Champion & Arable Farmer of the Year, Tom Clarke, Nature Friendly Farmer, NFU Sugar Board, OFC19 Emerging Leader, George Renner, farmer and no-till pioneer, and Tom Jewers who are all members of SRC’s Farmer Advisory Group. The crowdfunding website CrowdCube shows that SRC has raised the required amount 28 days ahead of the planned end of funding, with 580 new investors investing in 8.05% of the equity of the company, https://www.crowdcube.com/investments). See also the context for more details);;"SRC is also using those farmer investors to address the broad public opinion, with the exception of Matt Jones, who is Principal Designer at Google AI. The following opinions are from farmers who have invested in the first round in SRC: 1) “The key advantage of this technology is that it enables us to be much more precise and targeted in controlling weeds besides helping to reduce soil compaction” 2) ""SRC helps farmers to reduce the use of pesticides, encourages wildlife on farm and improve soil health while farming as efficiently as possible to maintain the viability of the farming business”.";Small Robot Company,Innovate UK@Government of the United Kingdom,Waitrose & Partners,National Trust of Scotland,RootWave,Cosmonio;United Kingdom;Precision Technology,Corporate Finance,Product Launches,Alliances,User Insights
WORLD PREMIER: FIRST PLANT-POWERED IOT SENSOR SENDS SIGNAL TO SPACE;;Competitors and Suppliers;https://www.plant-e.com/en/world-premier-first-plant-powered-iot-sensor-sends-signal-to-space/;2020-01-14;Plant-e (https://www.plant-e.com/), a start-up based in Wageningen in the Netherlands, and Lacuna Space (https://lacuna.space/), a UK and Netherlands based satellite service provider, developed a pilot service using plants as the energy source. Combining the innovative energy harvesting technology developed by Plant-e with the extremely power efficient devices from Lacuna Space, both companies developed the first-ever plant-powered sensor, which has successfully transmitted to a satellite in space. Since the sensor doesn't need batteries, due to the internal storage in the system, it'll reduce costs, maintenance requirements and environmental impact. As long as plants continue to grow, electricity will be produced. The sensor is completely self-sustainable and operates independently from sunlight, day and night. The IoT prototype device uses the electricity generated by living plants to transmit LoRa messages about air humidity, soil moisture, temperature, cell voltage and electrode potential straight to Lacuna's satellite. Future applications may include critical data gathering from agricultural land, rice fields or other aquatic environments without the need for any external energy sources. The pilot service is supported by the European Space Agency (ESA). Lacuna is launching a Low Earth Orbit satellite system that will provide a global IoT service, which allows collecting data from sensors in remote areas with little or no connectivity. Currently Lacuna is offering a pilot service with one satellite with three more awaiting the launch. (SONEAN: Plant-e was founded in 2009 as a Wageningen University spin-off. Via David Strik, who is the co-founder of Plant-e and still works at Wageningen University, the company maintains strong ties to the university. See also the context for more background);;The company has various cooperations within the industry. One is e.g. the collaboration with Dow Chemical, with which Plant-e started a pilot project to use the startup’s Plant-MFC technology as a new and sustainable way to power sensors, which can monitor concentrations of chemicals found in water (https://bit.ly/2TumufO). Lacuna, itself a startup, has also created various collaborations across industries. Supported by large organisations such as Semtech Corporation, the owner of LoRa technology, ESA and the UK Space Agency, the company has now been running a cooperation with Miromico, a manufacturer of wireless products for IoT, IRNAS, an innovation lab for hardware and IoT products, and the semiconductor manufacturer Semtech (https://bit.ly/371K8Vc, https://bit.ly/2TsTBkg, https://bit.ly/2FQZkse).;Plant-e,Lacuna Space,European Space Agency (ESA),Wageningen Universiteit en Researchcentrum,Dow Chemical Company,Semtech Corporation,UK Space Agency,Miromico,IRNAS;Netherlands,United Kingdom;Precision Technology,Innovation,Alliances
Trektor, le robot autonome hybride devient réalité;Trektor, the autonomous hybrid robot becomes reality;Competitors and Suppliers;https://www.farm-connexion.com/2020/01/14/trektor-le-robot-autonome-hybride-devient-realite/;2020-01-14;Created by French company Sitia, the new hybrid and autonomous robot Trektor is a result of Sitia’s collaborative project Pumagri. The Trektor can perform many repetitive tasks such tillage, spraying and hoeing and it is already for sale for around EUR 200,000. The dynamic tests of the new robot will continue in real conditions throughout 2020. The machine weighs only 2.7 tons and can work on different crops, in viticulture (narrow or wide vines), in gardening and open field vegetables or in arboriculture. It comes with three track widths (1.04 to 1.57 m, 1.37 to 1.90 m and 1.87 to 2.40 m). Ground clearance varies between 1.10 and 1.50 m. The implements can be coupled to the rear three-point linkage and/or in the lateral or ventral position between the wheels. The lifting capacity is 1 ton. Trektor is powered by a diesel-electric motor, giving it an autonomy of 8 hours while allowing to work at a speed of 10 km/h. It recharges in 5 hours.;;;Sitia;France;Precision Technology,Product Launches,Alternative Engines,Alliances
CropX Acquires CropMetrics to Expand U.S. Market Presence;;Competitors and Suppliers;https://www.prnewswire.com/news-releases/cropx-acquires-cropmetrics-to-expand-us-market-presence-300985649.html;2020-01-14;CropX, an Israeli soil sensing and agricultural analytics company, acquired CropMetrics, a U.S. provider of cloud-based, precision-irrigation tools. With this acquisition CropMetrics adds more than 500,000 acres under management and over 10 years of in-depth U.S. farm data to its farm management platform. CropMetrics is known for its vast distribution network, service model, decision support platform and a patented Variable Rate Irrigation (VRI) platform for pivot systems while CropX provides proprietary soil sensing technology and a decision-support platform, which analyzes soil data and integrate it with crop models, satellite imagery and weather forecasts, https://prn.to/2uMt4UF. Prior to its acquisition by CropX, CropMetrics had started in December 2019 a partnership with The Climate Corporation. Starting in 2020, customers of both CropMetrics and Climate FieldView platforms will have the option to seamlessly transfer key agronomic management data from FieldView to their CropMetrics accounts, https://bit.ly/2QYbkP4.;;;CropX,CropMetrics,The Climate Corporation;Israel,United States;Corporate M&A,Precision Technology,Alliances
